Person Name,Role,Company Name,Classification,Interest Areas,url
Hayley Bester,Investment Associate,Bayview Asset Management LLC,Investor,"CLOs/Leveraged Loans, Commercial ABS (Equipment/Aircraft/Transportation), Private Credit, ABS, CMBS, RMBS (GSE and PLS), Consumer ABS, ESG/PACE/Solar ABS, Direct Lending, Distressed Debt, Corporate Funding/Investment, Emerging Markets, Fintech/AI, Regulation/policy, SSA Funding/Investment, Sustainable Finance, Covered Bonds, Risk Transfer, Whole Loan/NPL/RPL, Hybrid Capital, FIG Funding/investment","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4OTI=
"
Ildiko Szilank,"Managing Director, Analytical Manager",S&P Global Ratings,Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4OTE=
"
Jonathan Bullock,Chief Product & Strategy Officer,Hotwire Communications,Issuer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4OTA=
"
Michael Sell,Director of Finance,Blue Torch Capital,Issuer,"CLOs/Leveraged Loans, Private Credit, Direct Lending","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4ODk=
"
Jinesh Sheth,First Vice President,MFA Financial Inc.,Issuer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4ODE=
"
Kevin Brakstad,Director,MUFG,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4ODA=
"
Jared Sholly,Director,MUFG Securities Americas Inc.,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4Nzk=
"
Cara Adler,Director,MUFG,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4Nzg=
"
Michael Oravetz,Associate,ALM First Financial Advisors,Investor,CMBS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4Nzc=
"
Tiffany Ball,Analyst,JM Family Enterprises,Issuer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4NzY=
"
Ray Barretto,Director,MUFG,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4NzU=
"
Ellen Tang,Head of Securitized Sales,MUFG,Investment Bank or Broker Dealer,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4NzQ=
"
Amy Martin,"Managing Director, Sector Lead, U.S. Auto ABS",S&P Global Ratings,Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4NjA=
"
Paula Pescaru,Associate General Counsel,"JM Family Enterprises, Inc.",Issuer,Consumer ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4NTk=
"
Frank Trick,"Managing Director & Analytical Manager, N.A. ABS",S&P Global Ratings,Service Provider,"Commercial ABS (Equipment/Aircraft/Transportation), ABS, Consumer ABS","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4NTg=
"
Joshua Saunders,Associate Director,S&P Global Ratings,Service Provider,ABS,"https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4NTc=
"
Ryan Erb,"Director, Relationship Management, Structured Finance",S&P Global Ratings,Service Provider,"CMBS, RMBS (GSE and PLS)","https://networking.invisso.org/event/abs-east-2024/person/RXZlbnRQZW9wbGVfMzMzNDI4NDY=
"
